institute_id,name,tier,data_trust_score
7270ff7a-fb0e-5531-99d2-7661a495e1b5,"Choudhury, Bakshi and Maharaj Institute",2,0.92
f93be952-b7c2-5130-90be-f48d4f497cfb,Kapoor and Sons Institute,3,0.69
f582907e-7547-5579-85f5-770a23e8e76e,"Chaudry, Chahal and Sami Institute",2,0.4
2d2bcc8e-64ae-586e-b862-4e2e796e6457,Balan Inc Institute,1,0.86
e81d2298-a696-5621-a342-ee0437afaab3,Kaul PLC Institute,3,0.76
e0b1cd9b-dae1-562f-a083-3d9e2d37b039,"Bala, Issac and Saini Institute",1,0.93
e3303573-e845-50b3-8b54-a32a3c88cad2,Sen PLC Institute,3,0.44
335e5f6d-1ec6-5d79-bb5e-b213b7d25eee,Ahuja-Dutta Institute,2,0.42
57807705-ef8e-5bac-9182-b90bac5fed49,"Sami, Oak and Mall Institute",2,0.64
2e2e1682-69bf-508c-8e95-cd7a876fdeac,Kale LLC Institute,3,0.49
276913dd-0d54-546e-a168-ac9e4f797bd8,Chanda Group Institute,3,0.39
170ef6a4-afce-5e8a-ad0c-e58e5605ccb6,Parmer LLC Institute,2,0.54
4c2f55f1-42df-5bc0-8998-b236a95c890f,"Lalla, Bassi and Sharaf Institute",3,0.81
b302edbe-9830-565f-bb69-0db1f5f9caab,"Dash, Radhakrishnan and Brar Institute",2,0.63
31bef2e4-84a2-5bcb-8a92-18d6384b36aa,"Memon, Pathak and Handa Institute",3,0.33
0081f0eb-092d-5faf-935c-ef0af047415a,"Boase, Bath and Kari Institute",3,0.41
abac3625-504c-5518-8d17-ced5ecb68c02,Buch-Kaul Institute,1,0.92
d846a05d-7f8f-5262-ac2e-8c34f4f64c02,Rai LLC Institute,3,0.83
c1690af3-0fba-5ce2-a091-b19627cbdbca,Patla-Gaba Institute,2,0.36
ebd43501-b9e8-52b8-9714-affe66285ebf,Pant-Kadakia Institute,3,0.59
789e6518-9f2a-59dd-808b-2b5ab872db63,"Loke, Bora and Garg Institute",2,0.62
7ca622ca-7d41-5365-89b3-c0b5125326a8,"Konda, Gade and Shere Institute",1,0.89
8b0353a6-3bdd-5f0d-aae4-34dd71e14a89,Madan-Kanda Institute,2,0.73
45d998c8-f524-5f00-b15a-efab8a6fe6e8,"Nair, Bhalla and Karnik Institute",2,0.64
a91d5f7c-701d-500c-919e-fe3ddf7834b6,Mutti Group Institute,3,0.42
f3659c54-d08c-5b47-8201-d34892ef692c,Bhatti-Kakar Institute,3,0.8
851c505c-9a83-5090-8eda-9efe8992f9e5,"Murty, Kala and Tata Institute",3,0.88
1038f161-21cd-52ab-aee1-c0298ac637fa,Shanker-Dhar Institute,3,0.9
285a5315-c920-52f8-a94a-24724b09177c,Dewan-Koshy Institute,1,0.43
a8501656-174d-5c16-9667-61e6de2d50cd,"Yohannan, Lall and Sangha Institute",1,0.51
c6c21a2a-131d-5b4b-bb91-86e0d240ef00,"Rastogi, Pathak and Kanda Institute",2,0.48
6ae973a5-b817-5d8f-b538-131a385b915f,Upadhyay Group Institute,3,0.53
f08f8d85-379e-5817-95a0-60d18c795161,Batta Inc Institute,2,0.65
94fc6d86-59a4-5525-9d42-b3053abb8a83,Dutta Ltd Institute,2,0.82
8ac22c2e-63b5-5dd1-a0ce-29d5a9c9078c,Bhatt-Rajan Institute,1,0.94
af6b0f43-27d8-57dc-a13d-3b96856db81f,Sidhu-Wadhwa Institute,3,0.43
0cae7d3c-e9cc-56fb-bc54-521afd81f57d,Apte-Contractor Institute,1,0.83
d941cead-36d5-5cdd-9d51-d761fd8ed14a,"Yadav, Loke and Oak Institute",3,0.77
0a9b4a0c-dbfc-5dc8-951a-c1acfe131a84,Memon Group Institute,3,0.35
e53e4cea-62ed-5c2b-83e5-2abe5acc18ae,Setty Inc Institute,2,0.38
1ba77ac2-d743-5e64-97f0-efec22d1a921,"Lall, Tella and Gokhale Institute",3,0.71
9c9143e1-8f52-5d76-9335-57e1c13cba93,"Cherian, Misra and Tripathi Institute",2,0.34
868fa1b9-503b-55ed-84f7-043338de814c,"Issac, Dua and Prakash Institute",2,0.51
624a47f4-cc67-5634-a0b2-42365ab75e2d,Zacharia PLC Institute,3,0.71
5baf5113-1203-5d7b-9eed-43e4c6ced81d,Naik Group Institute,3,0.61
934a15d2-5080-5ed2-8e6e-4249720cae62,Choudhury LLC Institute,2,0.76
9ea5e0d2-9721-5476-b336-c091f4d3b697,Khatri-Bhardwaj Institute,3,0.66
da9c018a-4665-58a0-8510-ca425b46e082,Brar Inc Institute,3,0.62
87f37f97-3f17-5b07-968e-942fcff78ed3,"Sunder, Biswas and Walia Institute",3,0.58
0f3a68f4-8f3c-5259-8056-5afc2b4e99d2,Dave Ltd Institute,1,0.37
