id,student_id,true_event_observed,months_to_event,actual_salary,placement_city_tier,employer_type,event_observed,is_noisy_label,noise_type,placement_status
7bcbc4f0-1d14-5150-9120-e1ea01519b6d,a0750f22-f898-58b9-8b89-fb5bf64c6dbe,True,5,350303.96,1.0,Mid-size,True,False,none,placed
7057afd4-7dd5-5fbb-9fb2-3a09324ad5de,35895269-780a-5f7e-a461-8a934b6728cd,True,3,615762.34,1.0,MNC,True,False,none,placed
90b353b2-2aff-5349-a2c1-87a33ae19b07,06676161-7414-5d89-81d3-ec987e17dd14,True,7,480256.6,1.0,Startup,True,False,none,placed
b27d0b3a-88f0-58b8-8898-ef10e5f45d81,ea2d6d21-a99f-51f9-917f-3f5f9b384a43,True,4,601258.16,2.0,MNC,True,False,none,placed
90cfc53f-730a-57f4-bb9a-0168347b9ce9,cad5902c-1ad8-5874-b70a-e786e221537e,False,11,,,,False,False,none,searching
5fff8ba0-78fc-55aa-a186-4c7be3b107e3,62054d3e-6713-5328-a094-441e322eeced,False,11,,,,False,False,none,searching
aae2b487-a62c-5c29-b1b3-a400df69f7cb,c8b456b7-f720-52fb-ae16-81bebf0425d1,True,7,776323.87,1.0,MNC,True,False,none,placed
0f4fb840-ee77-57ff-886a-ca95a077dea9,ddab6b88-460f-51de-a962-ea2a396977df,False,8,,,,False,False,none,searching
10d11042-3be0-5225-81d3-e5f629a7078e,edbd11b9-9e7c-5acb-a6a6-06f93efc7734,False,9,,,,True,True,clerical,placed
03592993-87af-51c0-acff-c83476f60b23,1cc7833a-a3a5-53c0-bcb8-7d858c5a6a7a,True,5,474522.37,1.0,Mid-size,True,False,none,placed
34b64786-bffc-5591-99f8-f6600e91ed19,daf28eee-a29f-5a35-a783-6f63d12add54,False,9,,,,False,False,none,searching
0b8d4f14-9a90-5ec3-a793-44a1b94d6b25,ddd6ac6a-42f4-526a-b699-85f7a2c1a3b2,False,10,,,,False,False,none,searching
d74514af-1605-557f-9497-54dc44ba2f5d,e1440a65-a8df-59c5-878d-b15dbfa27291,False,7,,,,False,False,none,searching
d7bfccef-cbe8-5e1d-81b8-6622bf91732f,b7678920-2fca-5434-8579-30a4ff9ff236,True,1,795717.93,2.0,MNC,True,False,none,placed
40eb1389-7282-54cc-b8ba-f9f7820b8d1f,89ee7492-f416-519e-8c92-00d75e3ef07f,False,6,,,,True,True,false_positive,placed
3e98307e-20e9-587f-ad80-f4e1847783df,b02dd157-c21c-519c-af03-a1e2dd7d753e,False,8,,,,False,False,none,searching
7bdf82b6-45de-524b-891b-6e761f9f7167,2d0914c2-a80d-52fb-8997-08a5fd548a6c,False,4,,,,False,False,none,searching
4cf54e99-feff-5d16-b553-364bbcff1d65,67140a32-1e2f-5ab4-88f8-3c77ff3fb463,True,5,1372611.0,2.0,High-Growth Startup,True,False,none,placed
